2021-04-07 01:17:47 ERROR-Division by zero
2021-04-07 01:18:01 WARNING-Log Warning Message
2021-04-07 01:18:01 ERROR-Log ERROR Message
2021-04-07 01:18:01 WARNING-Log Warning Message
2021-04-07 01:18:01 CRITICAL-Log Critical Message
2021-04-07 01:18:01 WARNING-Log Warning Message
2021-04-07 01:18:01 ERROR-Log ERROR Message
2021-04-07 01:18:01 WARNING-Log Warning Message
2021-04-07 01:18:01 ERROR-Log ERROR Message
2021-04-07 01:18:01 WARNING-Log Warning Message
2021-04-07 01:18:01 CRITICAL-Log Critical Message
2021-04-07 01:18:01 WARNING-Log Warning Message
2021-04-07 01:18:01 ERROR-Log ERROR Message
2021-04-07 01:18:01 WARNING-Log Warning Message
2021-04-07 01:18:01 ERROR-Log ERROR Message
2021-04-07 01:18:01 WARNING-Log Warning Message
